-1: Logger is currently incomplete.  Delete this file if you see this line.
-1: Resolution 968.0 576.0
0.059: LeftPaddle 414.0 -12.0
0.059: RightPaddle 3.484065321572138E-229 2.3997388694502056E-229
0.158: LeftPaddle 555.0 -12.0
0.158: RightPaddle 9.712156623927117E-234 6.689495633827373E-234
0.258: LeftPaddle 687.0 114.0
0.258: RightPaddle 5.2878010302348666E-238 3.642107852457701E-238
0.359: LeftPaddle 825.0 252.0
0.359: RightPaddle 1.8425297411843042E-242 1.269089362550418E-242
0.458: LeftPaddle 813.0 387.0
0.458: RightPaddle 8.025348882590966E-247 5.527663771172369E-247
0.556: LeftPaddle 678.0 513.0
0.556: RightPaddle 3.4955324328119845E-251 2.407637134844997E-251
0.658: LeftPaddle 558.0 492.0
0.658: RightPaddle 4.646359569867846E-255 3.200298683327351E-255
0.658: MeSpawn 808.5857857061501 3 0 polygon
0.759: LeftPaddle 447.0 381.0
0.759: RightPaddle 1.206263909912403E-258 8.308450399906875E-259
0.859: LeftPaddle 492.0 234.0
0.859: RightPaddle 2.1520467277711832E-263 1.4822770829036242E-263
0.959: LeftPaddle 633.0 219.0
0.959: RightPaddle 5.999030716419593E-268 4.1319854424318727E-268
1.059: LeftPaddle 783.0 324.0
1.059: RightPaddle 8.562102748482046E-273 5.897366689005506E-273
1.157: LeftPaddle 912.0 399.0
1.157: RightPaddle 1.2220241392482356E-277 8.417002999924097E-278
1.257: LeftPaddle 912.0 288.0
1.257: RightPaddle 5.322665811685276E-282 3.6661218600893595E-282
1.359: LeftPaddle 768.0 144.0
1.359: RightPaddle 1.1869941404332355E-286 8.175724946861598E-287
1.457: LeftPaddle 711.0 108.0
1.457: RightPaddle 3.308856734743807E-291 2.2790594856653865E-291
1.559: LeftPaddle 810.0 108.0
1.559: RightPaddle 1.1529682959369327E-295 7.941363262830939E-296
1.655: LeftPaddle 867.0 108.0
1.655: RightPaddle 6.277356491619528E-300 4.3236894202481584E-300
1.655: MeSpawn 766.6466905591692 5 1 rectangle
1.759: LeftPaddle 867.0 165.0
1.759: RightPaddle 1.7498715954993654E-304 1.2052687009817101E-304
1.857: LeftPaddle 753.0 303.0
1.857: RightPaddle 6.097412590840253E-309 4.1997484681808E-309
1.958: LeftPaddle 612.0 444.0
1.958: RightPaddle 1.35976844557E-313 9.365752049E-314
2.059: LeftPaddle 612.0 384.0
2.059: RightPaddle 3.79048E-318 2.61079E-318
2.159: LeftPaddle 720.0 243.0
2.159: RightPaddle 1.1E-322 6.9E-323
2.255: LeftPaddle 780.0 183.0
2.255: RightPaddle 9.9E-324 9.9E-324
2.255: MeDeflect 1
2.348: LeftPaddle 780.0 183.0
2.348: RightPaddle 9.9E-324 9.9E-324
2.458: LeftPaddle 750.0 213.0
2.458: RightPaddle 9.9E-324 9.9E-324
2.558: LeftPaddle 738.0 357.0
2.558: RightPaddle 9.9E-324 9.9E-324
2.655: LeftPaddle 738.0 360.0
